PostcodeDistrict,EstimatedDogPopulation,dog_level
E1,,
E10,,
E11,,
E12,973.9757651,🐶🐶🐶🐶 Supreme
E13,779.6551625,🐶🐶🐶🐶 Supreme
E14,,
E15,,
E16,,
E17,,
E18,,
E1W,340.2618889,🐶🐶🐶 High
E2,,
E20,193.1128195,🐶🐶🐶 High
E3,,
E4,,
E5,714.7350032,🐶🐶🐶🐶 Supreme
E6,,
E7,,
E8,,
E9,835.525766,🐶🐶🐶🐶 Supreme
EC1A,29.47645746,🐶🐶 Med
EC1M,65.82261726,🐶🐶 Med
EC1N,51.95966072,🐶🐶 Med
EC1R,223.1525705,🐶🐶🐶 High
EC1V,465.7844202,🐶🐶🐶 High
EC1Y,109.1421541,🐶🐶 Med
EC2A,183.2512937,🐶🐶🐶 High
EC2M,30.50557728,🐶🐶 Med
EC2N,9.634896591,🐶 Low
EC2P,0.650860512,🐶 Low
EC2R,14.89156216,🐶🐶 Med
EC2V,11.07807789,🐶 Low
EC2Y,22.21057568,🐶🐶 Med
EC3A,13.28183569,🐶 Low
EC3M,19.37870016,🐶🐶 Med
EC3N,30.69668437,🐶🐶 Med
EC3R,19.25734026,🐶🐶 Med
EC3V,14.55021087,🐶 Low
EC4A,14.6628937,🐶 Low
EC4M,10.12555811,🐶 Low
EC4N,11.50321845,🐶 Low
EC4R,9.271089761,🐶 Low
EC4V,20.20883237,🐶🐶 Med
EC4Y,30.30208837,🐶🐶 Med
EH1,,
EH10,,
EH11,,
EH12,,
EH13,,
EH14,,
EH15,,
EH16,,
EH17,,
EH18,,
EH19,,
EH2,662.9894441,🐶🐶🐶🐶 Supreme
EH20,,
EH21,,
EH22,,
EH23,,
EH24,492.6593856,🐶🐶🐶 High
EH25,,
EH26,,
EH27,236.0923305,🐶🐶🐶 High
EH28,,
EH29,,
EH3,,
EH30,,
EH31,,
EH32,,
EH33,,
EH34,894.6515938,🐶🐶🐶🐶 Supreme
EH35,646.4961501,🐶🐶🐶🐶 Supreme
EH36,109.2803316,🐶🐶 Med
EH37,344.2747002,🐶🐶🐶 High
EH38,294.4452419,🐶🐶🐶 High
EH39,,
EH4,,
EH40,430.2371297,🐶🐶🐶 High
EH41,,
EH42,,
EH43,316.8381094,🐶🐶🐶 High
EH44,,
EH45,,
EH46,925.693165,🐶🐶🐶🐶 Supreme
EH47,,
EH48,,
EH49,,
EH5,,
EH51,,
EH52,,
EH53,,
EH54,,
EH55,,
EH6,,
EH7,,
EH8,,
EH9,,
EN1,,
EN10,,
EN11,,
EN2,,
EN3,,
EN4,,
EN5,,
EN6,,
EN7,,
EN8,,
EN9,,
EX1,,
EX10,,
EX11,,
EX12,,
EX13,,
EX14,,
EX15,,
EX16,,
EX17,,
EX18,822.6472464,🐶🐶🐶🐶 Supreme
EX19,,
EX2,,
EX20,,
EX21,,
E98,0.0,🐶 Low
EC3P,0.0,🐶 Low
EH91,0.0,🐶 Low
EH99,0.0,🐶 Low
EX22,,
EX23,,
EX24,,
EX3,,
EX31,,
EX32,,
EX33,,
EX34,,
EX35,,
EX36,,
EX37,,
EX38,861.4519563,🐶🐶🐶🐶 Supreme
EX39,,
EX4,,
EX5,,
EX6,,
EX7,,
EX8,,
EX9,,
N1,,
N10,,
N11,,
N12,,
N13,,
N14,,
N15,,
N16,,
N17,,
N18,,
N19,,
N1C,75.17983372,🐶🐶 Med
N2,,
N20,,
N21,,
N22,,
N3,,
N4,,
N5,,
N6,,
N7,,
N8,,
N9,,
NE1,,
NE10,,
NE11,,
NE12,,
NE13,,
NE15,,
NE16,,
NE17,415.8377233,🐶🐶🐶 High
NE18,105.9296443,🐶🐶 Med
NE19,506.5693006,🐶🐶🐶 High
NE2,,
NE20,,
NE21,,
NE22,,
NE23,,
NE24,,
NE25,,
NE26,,
NE27,,
NE28,,
NE29,,
NE3,,
NE30,,
NE31,,
NE32,,
NE33,,
NE34,,
NE35,395.045513,🐶🐶🐶 High
NE36,,
NE37,,
NE38,,
NE39,566.1894429,🐶🐶🐶🐶 Supreme
NE4,,
NE40,,
NE41,274.1084025,🐶🐶🐶 High
NE42,,
NE43,,
NE44,544.4192519,🐶🐶🐶 High
NE45,567.690839,🐶🐶🐶🐶 Supreme
NE46,,
NE47,,
NE48,738.9477548,🐶🐶🐶🐶 Supreme
NE49,,
NE5,,
NE6,,
NE61,,
NE62,,
NE63,,
NE64,,
NE65,,
NE66,,
NE67,467.751694,🐶🐶🐶 High
NE68,538.875999,🐶🐶🐶 High
NE69,181.0994091,🐶🐶 Med
NE7,,
NE70,476.2823769,🐶🐶🐶 High
NE71,,
NE8,,
NE9,,
NG1,,
NG10,,
NG11,,
NG12,,
NG13,,
NG14,,
NG15,,
NG16,,
NG17,,
NG18,,
NG19,,
NG2,,
NG20,,
NG21,,
NG22,,
NG23,,
NG24,,
NG25,,
NG3,,
NG31,,
NG32,,
NG33,,
NG34,,
NG4,,
NG5,,
NG6,,
NG7,,
NG8,,
NG9,,
NN1,,
NN10,,
NN11,,
NN12,,
NN13,,
NN14,,
NN15,,
NN16,,
NN17,,
NN18,,
NN2,,
NN29,,
NN3,,
NN4,,
NN5,,
NN6,,
NN7,,
NN8,,
NN9,,
NP10,,
NP11,,
NP12,,
NP13,,
NP15,,
NP16,,
NP18,,
NP19,,
NP20,,
NP22,,
NP23,,
NP24,550.8884694,🐶🐶🐶 High
NP25,,
NP26,,
NP4,,
NP44,,
NP7,,
NP8,,
NR1,,
NR10,,
NR11,,
NR12,,
NR13,,
NR14,,
NR15,,
NR16,,
NR17,,
NR18,,
NR19,,
NR2,,
NR20,,
NR21,,
NR22,489.77593,🐶🐶🐶 High
NR23,,
NR24,963.0206919,🐶🐶🐶🐶 Supreme
NR25,,
NR26,,
NR27,,
NR28,,
NR29,,
NR3,,
NR30,,
NR31,,
NR32,,
NR33,,
NR34,,
NR35,,
NR4,,
NR5,,
NR6,,
NR7,,
NR8,,
NR9,,
NW1,,
NW10,,
NW11,,
NW2,,
NW3,,
NW4,,
NW5,,
NW6,,
NW7,,
NW8,,
NW9,,
N81,0.0,🐶 Low
NE85,0.0,🐶 Low
NE92,0.0,🐶 Low
NE98,0.0,🐶 Low
NE99,0.0,🐶 Low
NG80,0.0,🐶 Low
NG90,0.0,🐶 Low
NR99,0.0,🐶 Low
SE1,,
SE10,,
SE11,945.0454016,🐶🐶🐶🐶 Supreme
SE12,,
SE13,,
SE14,928.4155497,🐶🐶🐶🐶 Supreme
SE15,,
SE16,,
SE17,568.317968,🐶🐶🐶🐶 Supreme
SE18,,
SE19,895.4546982,🐶🐶🐶🐶 Supreme
SE2,,
SE20,779.564429,🐶🐶🐶🐶 Supreme
SE21,826.9638664,🐶🐶🐶🐶 Supreme
SE22,,
SE23,,
SE24,710.0347452,🐶🐶🐶🐶 Supreme
SE25,,
SE26,,
SE27,971.573265,🐶🐶🐶🐶 Supreme
SE28,,
SE3,,
SE4,,
SE5,710.5185332,🐶🐶🐶🐶 Supreme
SE6,,
SE7,,
SE8,,
SE9,,
SE1P,0.0,🐶 Low
SW10,,
SW11,,
SW12,,
SW13,,
SW14,,
SW15,,
SW16,,
SW17,,
SW18,,
SW19,,
SW1A,101.0083987,🐶🐶 Med
SW1E,237.5209847,🐶🐶🐶 High
SW1H,199.8505551,🐶🐶🐶 High
SW1P,,
SW1V,,
SW1W,,
SW1X,839.4726265,🐶🐶🐶🐶 Supreme
SW1Y,131.1122777,🐶🐶 Med
SW2,,
SW20,,
SW3,,
SW4,,
SW5,799.8023225,🐶🐶🐶🐶 Supreme
SW6,,
SW7,,
SW8,,
SW9,,
W10,,
W11,,
W12,,
W13,,
W14,,
W1A,1.4073352,🐶 Low
W1B,112.9635661,🐶🐶 Med
W1C,47.49267935,🐶🐶 Med
W1D,171.4604369,🐶🐶 Med
W1F,186.932751,🐶🐶🐶 High
W1G,591.3457166,🐶🐶🐶🐶 Supreme
W1H,,
W1J,459.9935947,🐶🐶🐶 High
W1K,699.0923042,🐶🐶🐶🐶 Supreme
W1S,175.217052,🐶🐶 Med
W1T,732.1421542,🐶🐶🐶🐶 Supreme
W1U,846.6673636,🐶🐶🐶🐶 Supreme
W1W,410.6549786,🐶🐶🐶 High
W2,,
W3,,
W4,,
W5,,
W6,,
W7,,
W8,,
W9,,
WA1,,
WA10,,
WA11,,
WA12,,
WA13,,
WA14,,
WA15,,
WA16,,
WA2,,
WA3,,
WA4,,
WA5,,
WA6,,
WA7,,
WA8,,
WA9,,
WC1A,44.04812817,🐶🐶 Med
WC1B,67.15455193,🐶🐶 Med
WC1E,86.1302009,🐶🐶 Med
WC1H,462.3362,🐶🐶🐶 High
WC1N,260.1976714,🐶🐶🐶 High
WC1R,31.90692899,🐶🐶 Med
WC1V,11.2652524,🐶 Low
WC1X,412.3361208,🐶🐶🐶 High
WC2A,14.91930876,🐶🐶 Med
WC2B,36.57058999,🐶🐶 Med
WC2E,48.21405356,🐶🐶 Med
WC2H,90.65801126,🐶🐶 Med
WC2N,62.05380144,🐶🐶 Med
WC2R,14.29599531,🐶 Low
WD17,,
WD18,,
WD19,,
WD23,,
WD24,,
WD25,,
WD3,,
WD4,,
WD5,,
WD6,,
WD7,,
WF1,,
WF10,,
WF11,,
WF12,,
WF13,,
WF14,,
WF15,,
WF16,640.8959564,🐶🐶🐶🐶 Supreme
WF17,,
WF2,,
WF3,,
WF4,,
WF5,,
WF6,,
WF7,,
WF8,,
WF9,,
WN1,,
WN2,,
WN3,,
WN4,,
WN5,,
WN6,,
WN7,,
WN8,,
WR1,,
WR10,,
WR11,,
WR12,,
WR13,,
WR14,,
WR15,,
WR2,,
WR3,,
WR4,,
WR5,,
WR6,,
WR7,,
WR8,,
WR9,,
WS1,,
WS10,,
WS11,,
WS12,,
WS13,,
WS14,,
WS15,,
WS2,,
WS3,,
WS4,,
WS5,,
WS6,,
WS7,,
WS8,,
WS9,,
WV1,,
WV10,,
WV11,,
WV12,,
WV13,,
WV14,,
WV15,,
WV16,,
WV2,,
WV3,,
WV4,,
WV5,,
WV6,,
WV7,744.7383947,🐶🐶🐶🐶 Supreme
WV8,,
WV9,508.8387153,🐶🐶🐶 High
SW95,0.0,🐶 Low
WA55,0.0,🐶 Low
WA88,0.0,🐶 Low
WD99,0.0,🐶 Low
WF90,0.0,🐶 Low
WR99,0.0,🐶 Low
